Carrier,Origin City,Destination City,Month,Aircraft,Seats,Passengers,Distance,Departures Performed,Departures Scheduled
Envoy Air,"Montgomery, AL","Charlotte, NC",5,675,50,34,372,1,1
American Airlines Inc.,"Birmingham, AL","Charlotte, NC",6,694,150,127,350,1,1
Envoy Air,"Montgomery, AL","Charlotte, NC",6,675,50,34,372,1,1
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",7,631,63,38,526,1,1
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",8,638,76,32,372,1,1
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",8,638,76,45,526,1,1
ExpressJet Airlines Inc.,"Huntsville, AL","Greensboro/High Point, NC",9,631,65,42,399,1,1
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",9,638,76,3,372,1,1
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",1,631,65,20,372,1,1
Envoy Air,"Montgomery, AL","Charlotte, NC",4,675,50,16,372,1,1
Envoy Air,"Montgomery, AL","Charlotte, NC",4,676,44,44,372,1,1
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",1,638,152,44,372,2,2
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",2,629,100,53,333,2,2
ExpressJet Airlines Inc.,"Huntsville, AL","Charlotte, NC",9,631,130,109,333,2,2
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",9,638,152,58,526,2,2
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",4,638,152,90,372,2,2
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",3,629,150,112,333,3,3
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",6,638,228,112,372,3,3
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",9,631,193,141,526,3,3
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",10,629,150,143,350,3,3
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",2,638,304,217,526,4,4
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",8,638,304,200,333,4,4
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",10,629,200,91,333,4,4
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",10,638,304,184,333,4,4
Piedmont Airlines,"Montgomery, AL","Charlotte, NC",7,675,200,181,372,4,4
Envoy Air,"Montgomery, AL","Charlotte, NC",2,675,200,83,372,4,4
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",5,631,258,113,372,4,4
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",5,629,200,104,526,4,4
Envoy Air,"Montgomery, AL","Charlotte, NC",6,676,176,144,372,4,4
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",3,638,380,279,526,5,5
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",7,638,380,206,333,5,5
Air Wisconsin Airlines Corp,"Birmingham, AL","Charlotte, NC",1,629,200,175,350,4,6
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",9,638,456,265,333,6,6
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",7,638,456,208,526,6,6
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",6,638,532,406,526,7,7
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",10,629,350,187,372,7,7
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",10,638,532,311,526,7,7
Envoy Air,"Montgomery, AL","Charlotte, NC",3,675,350,215,372,7,7
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",8,629,400,184,333,8,8
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",7,629,400,209,333,8,8
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",9,629,300,175,333,6,9
Piedmont Airlines,"Montgomery, AL","Charlotte, NC",8,675,500,414,372,10,10
Envoy Air,"Montgomery, AL","Charlotte, NC",2,676,440,237,372,10,10
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",4,629,600,517,333,12,12
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",6,629,600,328,333,12,12
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",6,631,778,603,526,12,13
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",1,638,988,589,526,13,13
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",6,638,1064,680,333,14,14
ExpressJet Airlines Inc.,"Huntsville, AL","Charlotte, NC",6,631,1300,1156,333,20,20
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",4,631,1412,950,372,22,23
Envoy Air,"Montgomery, AL","Charlotte, NC",5,676,968,804,372,22,23
Envoy Air,"Montgomery, AL","Charlotte, NC",3,676,1056,769,372,24,24
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",10,631,1560,1237,526,24,24
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",5,629,1250,1037,333,25,26
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",3,629,1350,1127,350,27,27
ExpressJet Airlines Inc.,"Huntsville, AL","Charlotte, NC",7,631,1625,1311,333,25,27
ExpressJet Airlines Inc.,"Huntsville, AL","Charlotte, NC",8,631,1755,1461,333,27,27
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",2,629,1350,1139,350,27,28
Piedmont Airlines,"Birmingham, AL","Charlotte, NC",10,675,1350,1186,350,27,28
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",4,631,1792,1385,350,28,28
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",5,629,1350,1096,350,27,28
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",4,629,1350,755,526,27,29
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",4,638,2052,1248,526,27,29
Piedmont Airlines,"Montgomery, AL","Charlotte, NC",9,675,1300,863,372,26,29
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",2,631,1790,1573,350,28,30
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",3,638,2280,1775,333,30,30
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",3,631,1985,1592,350,31,31
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",1,631,1993,1576,350,31,32
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",5,638,2280,1555,526,30,32
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",3,629,1650,1324,526,33,33
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",6,629,1450,1170,350,29,33
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",7,629,1700,1401,350,34,35
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",9,629,1650,1273,350,33,35
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",2,638,2888,2199,333,38,38
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",1,629,2000,1546,350,40,40
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",2,629,2100,1753,526,42,43
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",1,631,2690,1585,526,42,46
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",2,631,2751,1856,526,43,46
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",4,631,2958,2121,333,46,46
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",4,629,2400,1853,350,48,50
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",1,638,3724,2596,333,49,51
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",8,629,2600,2238,350,52,53
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",9,629,2650,1474,372,53,54
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",4,631,3344,2500,526,52,54
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",3,631,3476,2233,526,54,55
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",1,631,3411,2219,333,53,55
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",2,629,2750,1735,372,55,55
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",1,629,2650,1886,526,53,56
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",5,631,3730,2965,526,58,58
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",4,629,2800,1837,372,56,59
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",10,638,4408,3152,350,58,59
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",1,629,2700,1588,372,54,59
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",5,631,3730,3151,333,58,60
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",5,629,3000,2120,372,60,60
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",3,629,3000,1810,372,60,61
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",5,638,4636,3372,333,61,61
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",9,638,4484,2828,350,59,61
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",2,631,3919,2878,333,61,63
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",8,629,3450,2209,372,69,72
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",4,638,5548,4137,333,73,73
Piedmont Airlines,"Montgomery, AL","Charlotte, NC",10,675,3500,2579,372,70,74
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",8,638,5548,4061,350,73,74
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",6,629,3100,2174,372,62,74
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",10,629,3900,3023,526,78,78
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",6,631,4189,3078,333,65,79
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",7,629,3850,2384,372,77,79
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",8,631,4955,3434,350,77,79
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",7,638,6004,4562,350,79,80
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",5,631,5144,3886,350,80,80
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",6,638,5168,4110,350,68,80
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",7,631,5207,3476,333,81,82
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",8,631,5491,3919,333,85,85
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",3,631,5591,4219,333,87,87
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",6,629,3500,2650,526,70,87
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",6,631,4748,3517,350,74,89
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",7,631,5601,3905,350,87,89
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",1,638,6840,4796,350,90,95
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",2,638,7447,5644,350,98,99
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",9,631,6273,3837,333,97,100
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",9,631,6417,4300,350,99,102
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",5,638,7600,5976,350,100,102
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",9,629,4750,3150,526,95,103
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",7,629,5150,3722,526,103,104
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",8,629,5550,3892,526,111,112
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",10,631,7071,5545,350,109,113
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",10,631,7329,5169,333,113,115
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",3,638,8968,6672,350,118,118
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",4,638,8664,6844,350,114,119
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",12,629,50,43,333,1,1
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",12,631,63,43,372,1,1
SkyWest Airlines Inc.,"Montgomery, AL","Fayetteville, NC",12,629,50,0,471,1,1
Air Wisconsin Airlines Corp,"Birmingham, AL","Charlotte, NC",12,629,1250,1129,350,25,26
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",12,629,1300,887,526,26,27
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",12,631,1729,1391,350,27,28
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",12,629,1450,1030,372,29,33
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",12,631,2261,1566,526,35,37
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",12,638,2964,2505,333,39,40
Air Wisconsin Airlines Corp,"Montgomery, AL","Charlotte, NC",12,629,1950,1256,372,39,40
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",12,638,3648,2654,526,48,51
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",12,638,4180,3402,350,55,57
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",12,631,3748,2931,333,58,59
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",12,629,4300,3698,350,86,87
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",11,629,50,46,333,1,1
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",11,629,250,154,372,5,5
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",11,629,1150,784,526,23,23
Air Wisconsin Airlines Corp,"Birmingham, AL","Charlotte, NC",11,629,1200,1094,350,24,24
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",11,631,2182,1892,350,34,34
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",11,631,2322,1635,526,36,36
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",11,638,3724,2503,526,49,49
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",11,631,3342,2598,333,52,52
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",11,638,4104,3374,350,54,54
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",11,638,4560,3606,333,60,60
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",11,629,3950,3205,350,79,79
Air Wisconsin Airlines Corp,"Montgomery, AL","Charlotte, NC",11,629,3900,2650,372,78,80
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",10,629,50,30,333,1,1
Air Wisconsin Airlines Corp,"Birmingham, AL","Charlotte, NC",10,629,200,111,350,4,4
PSA Airlines Inc.,"Montgomery, AL","Charlotte, NC",10,629,950,682,372,19,20
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",10,629,1350,789,526,27,27
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",10,631,1926,1456,526,30,30
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",10,631,1993,1604,350,31,31
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",10,631,3604,2900,333,56,56
PSA Airlines Inc.,"Mobile, AL","Charlotte, NC",10,638,4180,2955,526,55,59
PSA Airlines Inc.,"Huntsville, AL","Charlotte, NC",10,638,4864,3834,333,64,65
Air Wisconsin Airlines Corp,"Montgomery, AL","Charlotte, NC",10,629,3300,2202,372,66,69
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",10,638,5776,4687,350,76,77
PSA Airlines Inc.,"Birmingham, AL","Charlotte, NC",10,629,4150,3545,350,83,85
PSA Airlines Inc.,"Montgomery, AL","Columbia, SC",3,629,50,22,326,1,1
PSA Airlines Inc.,"Birmingham, AL","Columbia, SC",5,638,76,75,325,1,1
Piedmont Airlines,"Montgomery, AL","Columbia, SC",8,675,50,41,326,1,1
PSA Airlines Inc.,"Montgomery, AL","Greer, SC",8,629,50,38,300,1,1
PSA Airlines Inc.,"Mobile, AL","Columbia, SC",8,629,50,43,473,1,1
PSA Airlines Inc.,"Birmingham, AL","Columbia, SC",10,638,76,70,325,1,1
PSA Airlines Inc.,"Huntsville, AL","Columbia, SC",2,638,76,76,327,1,1
PSA Airlines Inc.,"Mobile, AL","Columbia, SC",7,629,100,89,473,2,2
PSA Airlines Inc.,"Birmingham, AL","Columbia, SC",8,629,100,80,325,2,2
PSA Airlines Inc.,"Mobile, AL","Columbia, SC",5,631,128,108,473,2,2
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",3,629,50,49,640,1,1
ExpressJet Airlines Inc.,"Fayetteville, AR","Charlotte, NC",1,631,65,0,754,1,1
PSA Airlines Inc.,"Little Rock, AR","Asheville, NC",4,638,76,50,551,1,1
PSA Airlines Inc.,"Fayetteville, AR","Greensboro/High Point, NC",4,638,76,58,802,1,1
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",6,629,50,38,754,1,1
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",8,629,50,0,754,1,1
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",1,631,65,52,640,1,1
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",2,629,50,47,754,1,1
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",1,631,193,105,754,3,3
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",2,631,193,98,754,3,3
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",3,631,321,227,754,5,5
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",5,631,321,279,640,5,5
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",8,631,713,531,640,11,11
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",2,631,770,632,640,12,12
Republic Airline,"Fayetteville, AR","Charlotte, NC",1,673,1064,860,754,14,14
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",5,631,1493,1056,754,23,23
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",9,631,1491,978,640,23,24
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",3,631,1548,1191,640,24,24
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",10,631,1753,1236,640,27,27
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",4,631,1796,1339,754,28,28
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",6,631,1603,1334,754,25,28
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",9,631,1751,1127,754,27,29
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",7,631,1940,1210,754,30,30
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",8,631,2003,1321,754,31,31
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",4,631,2066,1721,640,32,32
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",10,631,2726,2122,754,42,42
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",4,638,3876,2670,640,51,53
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",4,638,4256,3376,754,56,56
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",3,638,4712,3599,640,62,63
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",2,638,4788,3775,640,63,64
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",10,638,5016,3386,754,66,66
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",1,638,4788,3445,754,63,67
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",2,638,5396,4314,754,71,73
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",9,638,5472,3091,754,72,75
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",8,638,6080,4204,754,80,80
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",9,638,5776,3822,640,76,80
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",7,638,5928,4380,754,78,81
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",1,638,5776,4213,640,76,81
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",6,638,5244,4206,754,69,82
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",5,638,6232,5225,640,82,83
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",10,638,6232,4927,640,82,83
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",3,638,6612,5110,754,87,87
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",5,638,6688,5250,754,88,90
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",8,638,7752,5439,640,102,104
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",6,638,6992,5708,640,92,106
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",7,638,8284,5945,640,109,111
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",12,631,260,222,640,4,4
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",12,631,703,398,754,11,13
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",12,638,2128,1509,754,28,28
Republic Airline,"Fayetteville, AR","Charlotte, NC",12,673,3420,2777,754,45,45
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",12,638,6156,4733,640,81,82
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",11,631,191,166,640,3,3
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",11,631,831,485,754,13,14
Republic Airline,"Fayetteville, AR","Charlotte, NC",11,673,1824,1529,754,24,24
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",11,638,3496,2651,754,46,46
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",11,638,6004,4787,640,79,80
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",10,629,50,35,640,1,1
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",10,631,321,265,754,5,5
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",10,631,512,423,640,8,8
PSA Airlines Inc.,"Little Rock, AR","Charlotte, NC",10,638,7372,5795,640,97,99
PSA Airlines Inc.,"Fayetteville, AR","Charlotte, NC",10,638,7752,5884,754,102,102
PSA Airlines Inc.,"Little Rock, AR","Columbia, SC",7,638,76,26,637,1,1
Envoy Air,"Little Rock, AR","Columbia, SC",2,673,76,68,637,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",1,622,188,183,1773,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",1,694,150,130,1773,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",1,696,247,232,1773,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",1,698,128,66,1773,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",4,694,150,150,1773,1,1
SkyWest Airlines Inc.,"Tucson, AZ","Raleigh/Durham, NC",7,638,76,0,1856,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",7,622,188,169,1773,1,1
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",7,614,160,82,1735,1,1
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",8,838,175,155,1891,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",9,698,128,96,1773,1,1
American Airlines Inc.,"Phoenix, AZ","Greensboro/High Point, NC",9,699,187,187,1825,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",2,696,247,164,1773,1,1
American Airlines Inc.,"Phoenix, AZ","Greensboro/High Point, NC",2,699,187,178,1825,1,1
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",9,698,256,99,1735,2,2
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",3,696,494,290,1773,2,2
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",10,838,350,266,1891,2,2
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",1,614,350,275,1891,2,2
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",4,687,873,689,1773,3,3
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",10,612,429,376,1891,3,3
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",9,694,450,251,1773,3,3
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",7,614,700,678,1891,4,4
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",1,612,715,652,1891,5,5
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",4,612,1144,1044,1891,8,8
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",6,614,1400,1039,1891,8,8
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",5,612,1144,993,1891,8,8
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",2,694,1950,1438,1735,13,13
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",10,694,3150,2606,1735,21,21
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",9,694,2700,1448,1735,18,22
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",8,694,3150,1907,1735,21,24
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",3,614,4200,3769,1891,24,24
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",4,614,4550,2759,1891,26,26
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",5,614,4375,2399,1891,25,26
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",10,614,4550,4198,1891,26,26
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",1,687,7566,5829,1773,26,27
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",6,612,3718,3217,1891,26,27
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",2,687,7857,6554,1773,27,27
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",6,694,4200,3428,1735,28,28
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",7,694,4050,2985,1735,27,28
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",3,687,8730,7775,1773,30,30
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",9,612,4004,3265,1891,28,30
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",4,694,4500,3216,1735,30,31
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",5,694,4500,3573,1735,30,31
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",7,612,4433,3735,1891,31,31
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",8,612,4433,4026,1891,31,31
American Airlines Inc.,"Tucson, AZ","Charlotte, NC",3,694,4800,3632,1735,32,32
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",2,699,36278,30900,1773,194,194
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",3,699,40392,37397,1773,216,216
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",1,699,41514,31903,1773,222,225
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",9,699,43197,32193,1773,231,235
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",4,699,44319,40271,1773,237,238
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",6,699,44506,40021,1773,238,239
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",7,699,45441,39373,1773,243,246
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",5,699,46189,41084,1773,247,247
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",8,699,46189,37557,1773,247,248
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",10,699,46189,41312,1773,247,248
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",12,694,150,126,1773,1,1
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",12,698,256,87,1773,2,2
Southwest Airlines Co.,"Phoenix, AZ","Raleigh/Durham, NC",12,614,1575,1244,1891,9,9
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",12,622,2256,2070,1773,12,12
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",12,696,3321,2194,1773,13,13
American Airlines Inc.,"Phoenix, AZ","Charlotte, NC",12,687,5238,4204,1773,18,18
